431,12,flow,,,,,,,,,,
num,name,east,north,power,magnitude,shape,type,sfi,ohmS,lwi,geol,flow
80,b80,755511,1050809,80,139,C,CP,0.994511473,1867.371819,12.9380645,GEOSYN. GRANITES,1.2
81,b81,750719,1048689,40,40,V,CB2P,0,,0,GRANITES,0
82,b82,775379,1023509,76,42,V,CP,0.23722292,0,0,VOLCANO-SEDIM. SCHISTS,1.4
83,b83,758929,1037263,50,111,V,EC,0.465398805,0,0,GRANITES,0.2
84,b84,767642,1035533,270,284,W,CB2P,0.162421253,936.4322399,45.1416185,VOLCANO-SEDIM. SCHISTS,10
85,b85,772298,1034820,220,1153,W,CB2P,1.295190013,987.6141952,48.9210309,VOLCANO-SEDIM. SCHISTS,7.2
86,b86,779349,1035020,50,63,V,CP,0.452548338,1279.511638,22.7855172,GEOSYN. GRANITES,1.2
87,b87,782508,1065241,100,125,V,CB2P,0.888126118,1192.442385,18.262069,GRANITES,1.2
88,b88,760026,1061351,40,61,W,NC,0.636396103,1433.418731,25.4969184,GRANITES,0.8
89,b89,778518,1087356,80,92,U,NC,1.276186318,1821.435312,27.0410056,GRANITES,0.6
90,b90,771278,1071794,90,146,W,EC,1.244507933,1479.716955,37.4514851,GRANITES,1
91,b91,780328,1105713,70,321,V,CP,1.414213559,1327.726786,28.2514286,GEOSYN. GRANITES,2
92,b92,778163,1144097,88,41,V,CB2P,0.329983165,1446.015441,26.2176471,GEOSYN. GRANITES,1
93,b93,774362,1111110,60,209,V,NC,1.215339779,0,,GRANITES,1.5
94,b94,774051,1151223,80,32,V,CP,0.012297485,1022.359964,10.9330435,GRANITES,1.2
95,b95,761205,1163351,90,61,V,CB2P,0.292786401,1016.310119,46.2642857,GRANITES,1.5
96,b96,790724,1092789.5,50,70,V,CP,0.468710782,1553.045,20.328,GRANITES,0.8
97,b97,790838,1093058,70,121,V,CP,0.723810091,1210.385081,47.6741935,GRANITES,1
98,b98,790618,1092974,70,168,V,CP,1.06773124,1123.018713,39.1722222,GRANITES,1.3
99,b99,790594,1092865,90,13,V,CP,0.068986028,2586.097635,39.5783784,VOLCANO-SEDIM. SCHISTS,1
100,b100,790194,1093026,40,40,V,CP,0,0,0,GRANITES,0
101,b101,790207,1093044,38,149,V,CP,1.128994021,1181.775707,38.1377358,GEOSYN. GRANITES,1
102,b102,790353,1093052,80,307,W,EC,1.291238469,1463.049128,46.5093023,VOLCANO-SEDIM. SCHISTS,2
103,b103,790249,1093099,30,13,V,NC,0,0,37.96,GRANITES,0
104,b104,790187,1093022,90,327,V,CP,1.393416306,964.4125,7.6,GRANITES,2
105,b105,790635,1092760,70,114,V,CP,0.737850536,1375.982888,36.2067961,GRANITES,1
106,b106,790724,1092789.5,40,75,V,CP,0.689597471,1481.767293,44.1862389,GRANITES,0.6
107,b107,790232,1093057,70,120,V,CB2P,1.198545994,2091.94375,49.1338462,GRANITES,0.8
108,b108,790838,1093058,120,73,V,CP,0.100219858,1214.037593,31.3536913,GEOSYN. GRANITES,3
109,b109,790618,1092974,160,498,V,CP,0.860825647,809.6535968,14.116129,GRANITES,5
110,b110,790594,1092865,80,80,V,CP,0.177983951,2948.781419,19.48054054,GRANITES,0.2
111,b111,790194,1093026,98,235,V,CP,0.728319979,933.3508298,44.4681132,GRANITES,2.7
112,b112,790207,1093044,14,23,V,CP,0.139876417,3433.193,9.7039759,GRANITES,0.1
113,b113,790353,1093052,90,98,V,NC,0.292065843,843.06218,20.458,GRANITES,2.5
114,b114,790249,1093099,50,60,V,NC,0.594714031,1310.774337,40.122,GRANITES,0.7
