num	name	east	north	power	magnitude	shape	type	sfi	ohmS	lwi	geol	flow
87	b87	782508	1065241	70	37	V	CB2P	1.146659645	268.142069	8.6	GRANITES	2.5
88	b88	760026	1061351	20	25	W	NC	0.45254834	225.4169184	7	GRANITES	0.8
89	b89	778518	1087356	70	47	U	NC	0.752241257	226.9810056	7.2	GRANITES	0.6
90	b90	771278	1071794	70	47	W	EC	0.752241257	337.3514851	10.5	GRANITES	1
91	b91	780328	1105713	20	13	V	CP	0.326356976	438.0514286	13.8	GEOSYN. GRANITES	2
92	b92	778163	1144097	70	37	V	CB2P	1.146659645	326.1176471	10.5	GEOSYN. GRANITES	1
93	b93	774362	1111110	20	25	V	NC	0.45254834		14.8	GRANITES	1.5
94	b94	774051	1151223	50	300	V	CP	0.21684608	660.8130435	20.5	GRANITES	10
95	b95	761205	1163351	50	113	V	CB2P	1.20145577	196.1142857	6.4	GRANITES	2.4
96	b96	790724	1092789.5	30	274	V	CP	0.325165892	270.248	8.3	GRANITES	2.5
97	b97	790838	1093058	50	384	V	CP	0.935443346	197.5741935	6.4	GRANITES	1
98	b98	790618	1092974	40	108	V	CP	1.204700442	239.0422222	7.7	GRANITES	10.8
99	b99	790594	1092865	70	43	V	CP	1.348436187	289.4783784	9.1	VOLCANO-SEDIM. SCHISTS	1
100	b100	790194	1093026	40	121	V	CP	0.385694608		15	GRANITES	0
101	b101	790207	1093044	20	214	V	CP	0.786408476	188.0377358	6	GEOSYN. GRANITES	1
102	b102	790353	1093052	30	150	W	EC	1.084230398	296.3093023	9.9	VOLCANO-SEDIM. SCHISTS	2
103	b103	790249	1093099	30	122	V	NC	0.220246374	387.96	12.2	GRANITES	10
104	b104	790187	1093022	40	113	V	CP	0.85103117	257.4	9	GRANITES	2
105	b105	790635	1092760	50	300	V	CP	0.21684608	286.1067961	9.4	GRANITES	1
106	b106	790724	1092789.5	30	274	V	CP	0.325165892	144.1262389	16.2	GRANITES	1.6
107	b107	790232	1093057	50	113	V	CB2P	1.20145577	449.0538462	14.5	GRANITES	1
108	b108	790838	1093058	50	384	V	CP	0.935443346	281.0536913	9	GEOSYN. GRANITES	10
109	b109	790618	1092974	40	108	V	CP	1.204700442	163.616129	5.3	GRANITES	10
110	b110	790594	1092865	70	43	V	CP	1.348436187	69.46054054	2.2	GRANITES	3.5
111	b111	790194	1093026	40	121	V	CP	0.385694608	294.1981132	10.5	GRANITES	10
112	b112	790207	1093044	20	214	V	CP	0.786408476	459.6939759	14.1	GRANITES	7.5
113	b113	790353	1093052	30	150	V	NC	1.084230398	120.208	9.6	GRANITES	2.5
114	b114	790249	1093099	30	122	V	NC	0.220246374	140.052	1.5	GRANITES	8.2
115	b115	790187	1093022	40	113	V	CP	0.85103117		0	GRANITES	0
116	b116	755914	1116108	60	86	V	EC	1.134659719	179.74	5.7	GRANITES	1
117	b117	755860	1115670	40	23	U	NC	0.922313193	199.584	6.3	GRANITES	1
118	b118	755914	1116108	60	86	V	CB2P	1.134659719	89.2137931	2.8	GRANITES	0.3
119	b119	755860	1115670	40	23	V	NC	0.922313193	0	0	GRANITES	0
