Grid	UTM
Datum	WGS 84

Header	Name	Description	Type	Position	Altitude	Depth	Proximity	Temperature	Display Mode	Color	Symbol	Facility	City	State	Country	Date Modified	Link	Categories
Waypoint	068		User Waypoint	29 P 769998 1102503					Symbol & Name	Unknown	Waypoint					9/5/2021 5:26:52 PM 		
Waypoint	069		User Waypoint	29 P 777617 1107034					Symbol & Name	Unknown	Waypoint					9/5/2021 5:26:53 PM 		
Waypoint	070		User Waypoint	29 P 770916 1100124					Symbol & Name	Unknown	Waypoint					9/5/2021 5:26:56 PM 		
Waypoint	071		User Waypoint	29 P 770983 1091028					Symbol & Name	Unknown	Waypoint					9/5/2021 5:26:59 PM 		
Waypoint	073		User Waypoint	29 P 767215 1052082					Symbol & Name	Unknown	Waypoint					9/5/2021 5:27:08 PM 		
Waypoint	074		User Waypoint	29 P 742850 1058180					Symbol & Name	Unknown	Waypoint					9/5/2021 5:27:11 PM 		
Waypoint	075		User Waypoint	29 P 748076 1085051					Symbol & Name	Unknown	Waypoint					9/5/2021 5:27:13 PM 		
Waypoint	076		User Waypoint	29 P 754115 1079576					Symbol & Name	Unknown	Waypoint					9/5/2021 5:27:15 PM 		
Waypoint	077		User Waypoint	29 P 749329 1054644					Symbol & Name	Unknown	Waypoint					9/5/2021 5:27:20 PM 		
Waypoint	078		User Waypoint	29 P 776019 1080180					Symbol & Name	Unknown	Waypoint					9/5/2021 5:27:22 PM 		
Waypoint	079		User Waypoint	29 P 752506 1050938					Symbol & Name	Unknown	Waypoint					9/5/2021 5:27:25 PM 		
Waypoint	080		User Waypoint	29 P 755511 1050809					Symbol & Name	Unknown	Waypoint					9/5/2021 5:27:28 PM 		
Waypoint	081		User Waypoint	29 P 750719 1048689					Symbol & Name	Unknown	Waypoint					9/5/2021 5:27:30 PM 		
Waypoint	082		User Waypoint	29 P 775379 1023509					Symbol & Name	Unknown	Waypoint					9/5/2021 5:27:36 PM 		
Waypoint	083		User Waypoint	29 P 758929 1037263					Symbol & Name	Unknown	Waypoint					9/5/2021 5:27:38 PM 		
Waypoint	084		User Waypoint	29 P 767642 1035533					Symbol & Name	Unknown	Waypoint					9/5/2021 5:27:40 PM 		
