hole_id,strata_name,rock_name,aquifer_group,depth_top,depth_bottom,layer_thickness,resistivity,gamma_gamma,natural_gamma,sp,short_distance_gamma,well_diameter,pumping_level,aquifer_thickness,hole_depth_before_pumping,hole_depth_after_pumping,hole_depth_loss,depth_starting_pumping,pumping_depth_at_the_end,pumping_depth,section_aperture,k,kp,r,rp,remark
H1102,medium-grained sandstone,,IV,457.0,459.6,2.49,36.84615385,1184.076923,10.48788462,-3.959038462,617.8461538,193.2455769,CSA12-18,,,,,,,,,,,,,
H1102,fine-grained sandstone,,V,459.6,466.28,6.39,18.06015038,973.518797,8.92443609,-4.246917293,602.6315789,189.7518045,ROOF-V,,,,,,,,,,,,,
H1102,coal,,V,466.28,466.76,0.46,14.7,4870.0,5.611,-4.775,647.0,240.173,CSA18+,,,,,,,,,,,,,
H1102,carbonaceous mudstone,,V,466.76,466.96,0.19,14.5,3915.0,9.27,-5.0325,567.0,253.2,CSA18+,,,,,,,,,,,,,
H1102,siltstone,,V,466.96,468.7,1.66,17.6,1013.028571,11.02,-4.781142857,559.2,219.3985714,CSA18+,,,,,,,,,,,,,
H1102,fine-grained sandstone,,V,468.7,473.2,4.33,16.85555556,927.3111111,10.22877778,-4.118444444,590.1777778,230.9872222,CSA18+,,,,,,,,,,,,,
H1102,carbonaceous mudstone,,V,473.2,473.6,0.38,14.5,4316.0,12.37625,-4.12,544.0,270.295,CSA18+,,,,,,,,,,,,,
H1102,siltstone,,V,473.6,477.7,3.94,16.07317073,978.1463415,14.27280488,-4.125487805,546.4146341,261.8268293,CSA18+,,,,,,,,,,,,,
H1102,carbonaceous mudstone,,V,477.7,477.9,0.19,28.75,3377.0,16.1075,-4.0325,506.5,247.2625,CSA18+,,,,,,,,,,,,,
H1102,siltstone,,V,477.9,483.1,5.0,14.71153846,1009.288462,12.96384615,-3.816153846,583.8846154,240.3500962,CSA18+,,,,,,,,,,,,,
H1102,fine-grained sandstone,,V,483.1,495.3,11.73,18.04508197,754.647541,13.20663934,-4.162295082,524.442623,248.3015574,CSA18+,,,,,,,,,,,,,
H1102,medium-grained sandstone,,V,495.3,507.05,11.29,22.35744681,891.5234043,9.08387234,-4.767617021,581.8553191,200.2465532,CSA18+,,,,,,,,,,,,,
H1102,coal,,V,507.05,507.37,0.31,28.5,4838.333333,5.405,-3.603333333,501.0,219.395,,,,,,,,,,,,,,
H1102,fine-grained sandstone,,V,507.37,508.7,1.26,41.2962963,1168.518519,13.66481481,-4.035925926,602.0,224.6648148,,,,,,,,,,,,,,
H1102,coal,6 coal,V,508.7,512.17,3.3,26.24637681,5324.405797,2.602608696,-3.577391304,684.6666667,225.0992754,,,,,,,,,,,,,,
H1102,fine-grained sandstone,,V,512.17,520.15,7.59,14.4625,880.2,12.5546875,-3.5000625,537.3,244.1971875,,,,,,,,,,,,,,
H1102,siltstone,,V,520.15,520.65,0.48,13.5,1436.0,14.517,-3.574,639.2,255.967,,,,,,,,,,,,,,
H1102,carbonaceous mudstone,,V,520.65,520.9,0.24,14.4,2494.4,12.04,-3.658,510.0,261.452,,,,,,,,,,,,,,
H1102,siltstone,,V,520.9,521.95,1.0,15.19047619,900.0952381,15.42761905,-3.927142857,489.3333333,247.81,,,,,,,,,,,,,,
H1102,fine-grained sandstone,,V,521.95,533.7,11.17,17.07659574,743.9659574,10.12234043,-4.040638298,515.9829787,237.4037021,,,,,,,,,,,,,,
