hole id;depth top  ;depth bottom;strata name;rock name;layer thickness ;resistivity;gamma-gamma;natural gamma;sp;short- distance gamma;well diameter ;aquifer group;pumping level;aquifer thickness;hole depth before pumping ;hole depth after pumping ;hole depth loss ;depth starting pumping ;pumping depth at the end;pumping depth ;section aperture ;k;kp;r;rp;remark 
H502;560.67;560.89;coal;;0.22;42.1925;3621.25;11.2425;-2.37;10801.75;149.46;V;;;;;;;;;;;;;;
H502;560.89;561.39;mudstone;;0.5;41.905;2480.1;15.046;-2.439;8389.2;150.781;V;;;;;;;;;;;;;;
H502;561.39;565.67;coal;10 coal;4.26;112.4274419;7536.593023;1.833953488;-2.752790698;12241.81395;138.3577907;V;;;;;;;;;;;;;;
H502;565.67;566.07;siltstone;;0.4;49.5575;1639.625;15.34875;-2.25;6693.625;149.14125;V;;;;;;;;;;;;;;
H502;566.07;566.62;fine-grained sandstone;;0.55;42.64;990.1818182;13.54454545;-2.22;6181.727273;149.2027273;V;;;;;;;;;;;;;;
H502;566.62;567.22;siltstone;;0.6;39.93166667;924.9166667;18.085;-2.151666667;5859.75;146.3875;V;;;;;;;;;;;;;;
H502;567.22;567.4;mudstone;;0.18;36.9575;1564.75;21.1125;-2.13;7081.5;146.22;V;;;;;;;;;;;;;;
H502;567.4;568.45;carbonaceous mudstone;;1.04;35.35095238;1589.333333;19.2247619;-2.147619048;7117.238095;145.4409524;V;;;;;;;;;;;;;;
H502;568.45;570.95;fine-grained sandstone;;2.49;36.768;1006.76;15.6904;-2.295;6117.18;138.3608;V;;;;;;;;;;;;;;
H502;570.95;571.65;Coarse-grained sandstone;;0.7;41.46357143;1323.428571;10.77857143;-2.432857143;7263.285714;115.9871429;V;;;;;;;;;;;;;;
H502;571.65;572.53;siltstone;;0.88;42.53058824;1109.117647;13.66470588;-2.305294118;6628.705882;118.0823529;V;;;;;;;;;;;;;;
H502;572.53;573.63;fine-grained sandstone;;1.09;51.95272727;988;12.61681818;-2.404090909;6267.590909;113.8340909;V;;;;;;;;;;;;;;
H502;573.63;575.17;siltstone;;1.53;46.85612903;1228.645161;16.40967742;-2.379354839;6747.258065;123.5103226;V;;;;;;;;;;;;;;
H502;575.17;575.77;fine-grained sandstone;;0.6;40.81;1237.666667;19.34166667;-2.514166667;6643.083333;133.2725;V;;;;;;;;;;;;;;
H502;575.77;581.04;Coarse-grained sandstone;;5.24;40.72666667;1320.590476;11.26428571;-2.914666667;7240.942857;108.9130476;V;;;;;;;;;;;;;;
H502;581.04;585.4;fine-grained sandstone;;4.34;87.13113636;977.875;8.541363636;-2.902272727;6334.147727;112.7597727;V;;;;;;;;;;;;;;
H502;585.4;586;Coarse-grained sandstone;;0.6;47.425;1197.916667;9.9925;-2.763333333;7291.416667;119.1016667;V;;;;;;;;;;;;;;
H502;586;587.5;fine-grained sandstone;;1.49;42.47566667;1272.3;11.99366667;-2.585666667;7169.533333;131.9873333;V;;;;;;;;;;;;;;
H502;587.5;591.3;siltstone;;3.78;38.28960526;1005.381579;15.84473684;-2.559078947;6194.828947;145.4890789;V;;;;;;;;;;;;;;
H502;591.3;592.3;medium-grained sandstone;;0.99;43.512;1245.05;12.625;-2.9875;7335.25;124.8335;V;;;;;;;;;;;;;;
H502;592.3;593.9;mudstone;;1.59;47.141875;1124.65625;10.895;-2.5759375;6921.15625;120.3978125;V;;;;;;;;;;;;;;
H502;593.9;594.7;siltstone;;0.8;41.924375;926.5625;17.184375;-2.23875;6071.875;135.815625;V;;;;;;;;;;;;;;
H502;594.7;597.01;mudstone;;2.3;36.59717391;1025.5;19.96369565;-2.196086957;6172.326087;141.7606522;V;;;;;;;;;;;;;;
H502;597.01;598.89;coal;12 coal;1.87;82.53405405;7656.243243;2.680540541;-2.437567568;12348.32432;147.7375676;V;;;;;;;;;;;;;;
H502;598.89;598.99;mudstone;;0.1;57.81;4551.5;11.795;-2.14;10549;140.565;V;;;;;;;;;;;;;;
H502;598.99;599.6;fine-grained sandstone;;0.61;49.92769231;1371;16.91923077;-2.119230769;6428.384615;131.7;V;;;;;;;;;;;;;;
H502;599.6;600.5;carbonaceous mudstone;;0.9;49.255;3138.388889;16.655;-2.092222222;8989.111111;126.6344444;V;;;;;;;;;;;;;;
H502;600.5;602.9;siltstone;;2.39;43.460625;1093.083333;17.39708333;-2.06375;6258.166667;124.9635417;V;;;;;;;;;;;;;;
H502;602.9;603.5;mudstone;;0.6;35.1225;1072.166667;18.955;-2.031666667;6315.666667;136.7775;V;;;;;;;;;;;;;;
H502;603.5;609.8;siltstone;;6.27;36.9752381;978.1825397;15.74150794;-2.184761905;6125.730159;140.1009524;V;;;;;;;;;;;;;;
H502;609.8;611.15;fine-grained sandstone;;1.34;38.70148148;1082.333333;16.33740741;-2.491481481;6456.925926;124.3540741;V;;;;;;;;;;;;;;
H502;611.15;612.15;siltstone;;0.99;39.343;1302.9;12.1565;-2.804;7354.85;109.652;V;;;;;;;;;;;;;;
