num,name,east,north,power,magnitude,shape,type,sfi,OhmS,WI,geol,flow
132,TEPOGOVO ,790724,1092789.5,30,274,V,CP,0.325165892,0,0,GRANITES,0
133,BANANIKORO_2,790838,1093058,50,384,V,CP,0.935443346,0,0,GRANITES,0
134,DAGBAPLE2,790618,1092974,40,108,V,CP,1.204700442,169.4,5.5,GRANITES,0.4
135,FORO ,790594,1092865,70,43,V,CP,1.348436187,177.2790698,6.6,GRANITES,1
136,GBONKEDOUGOU ,790194,1093026,40,121,V,CP,0.385694608,66.84950495,2.2,GRANITES,2
137,HOUPHOUETKAHA,790207,1093044,20,214,V,CP,0.786408476,0,0,GRANITES,1
138,KAPREME,774798,1151676,40,146,K,CP,1.278604043,294.7357664,9.2,GRANITES,0.4
139,LASSOLOGO ,793808,1157500,40,81,K,CP,0.872971335,324.3945205,10.4,GRANITES,1
140,NABEDJOLIKAHA,794272,1173314,20,14,W,NC,1.212183053,209.9865471,6.6,VOLCANO-SEDIM. SCHISTS,1
141,NABORIKAHA,769958,1137173,40,146,V,CP,1.278604043,259.524,8.1,GNEISS-MIGMATITES,1
142,NANOUGOUIN ,764896,1131618,40,81,V,NC,0.872971335,602.6504854,19.8,GRANITES,0.2
143,NIANGOROVOGO ,765096,1124909,20,14,V,CP,1.212183053,,5.9,GNEISS-MIGMATITES,0.4
144,SEKONKAHA,760779,1119807,50,152,V,CP,1.163004574,272.1440367,8.9,GRANITES,0
145,TEPOGOVO,760506,1116077,30,19,V,NC,0.852713178,,5.9,GRANITES,0
146,YAGBEDOUGOU,763063,1054784,50,152,V,CP,1.163004574,207.7,6.7,GRANITES,0
147,DOUASSO ,769302,1055036,30,19,C,CP,0.852713178,259.1707317,8.4,GNEISS-MIGMATITES,0.7
148,SEMIEN ,749534,1061331,30,19,V,CP,1.042052099,282.8410256,9.2,GEOSYN. GRANITES,5
149,KADIOLA,773470,1059889,60,37,V,EC,1.070215669,0,0,GRANITES,1
150,DANZOUROU,775487,1054834,30,19,V,CP,1.042052099,108.6893617,3.6,GRANITES,0
151,KANAKONO,783677,1094704,60,37,V,CB2P,1.070215669,190.96,6.2,GRANITES,1
152,KANAKONO,776217,1161953,60,125,V,NC,0.37335238,109.6146497,3.5,GRANITES,2
153,KANAKONO,748669,1136769,60,147,U,EC,0.817742536,240.2472527,7.5,GRANITES,1
154,LOMARA,778287,1095277,60,125,V,NC,0.37335238,409.9877419,13.1,GNEISS-MIGMATITES,1.5
155,LOMARA,776515,1051845,60,147,V,CB2P,0.817742536,,7.4,GRANITES,3
156,LOMARA,772216,1095833,50,24,U,NC,0.589255651,0,0,GRANITES,0
157,LOMARA,789892,1180154,50,57,C,NC,0.577777778,0,0,GRANITES,0.3
158,LOMARA,760382,1174862,50,24,U,NC,0.589255651,429,13.8,GRANITES,3
159,LOMARA,770648,1042266,50,57,C,NC,0.577777778,562.1073826,18,GRANITES,0.6
160,POPO,790635,1092760,50,300,V,CP,0.21684608,307.6615385,10.1,GNEISS-MIGMATITES,0.9
161,POPO,790724,1092789.5,30,274,V,CP,0.325165892,188.5529412,6.2,GRANITES,0.9
162,POPO,790838,1093058,50,384,V,CP,0.935443346,219.5481081,6.8,GRANITES,0.3
163,POPO,790618,1092974,40,108,V,CP,1.204700442,248.5459016,7.7,GRANITES,1.6
164,POUROU,790594,1092865,70,43,V,CP,1.348436187,247.94,7.7,GRANITES,2.5
165,POUROU,790194,1093026,40,121,V,CP,0.385694608,168.5020408,5.4,GEOSYN. GRANITES,2.2
166,POUROU,790207,1093044,20,214,V,CP,0.786408476,90.49183673,2.9,VOLCANO-SEDIM. SCHISTS,1
167,POUROU,790635,1092760,50,300,K,CB2P,0.21684608,154.3548387,5,GNEISS-MIGMATITES,0.3
168,SISSENGUE,790724,1092789.5,30,274,V,CP,0.325165892,390.5830189,12.3,GRANITES,1
169,SISSENGUE,790838,1093058,50,384,V,CP,0.935443346,,12.8,GEOSYN. GRANITES,10
170,ZANIKAN,790618,1092974,40,108,V,CP,1.204700442,0,0,GEOSYN. GRANITES,0
171,BASSO,790594,1092865,70,43,V,CP,1.348436187,279.6940092,8.8,GRANITES,0.6
172,BASSO,790194,1093026,40,121,V,CP,0.385694608,255.64,8.3,GRANITES,1
173,BENIASSO,790207,1093044,20,214,V,CP,0.786408476,67.15116279,2.5,GRANITES,1
174,BENIASSO,794011,1075224,40,214,V,CP,0.945011866,40.75247525,39.2,GRANITES,2
175,BOLONA,750113,1109485,30,644,K,CP,0.38210118,174.5352185,5.4,GRANITES,5.4
176,BOLONA,730100,1084264,40,214,W,CP,0.945011866,30.89605839,8.4,GRANITES,5.4
177,BOLONA,751199,1046065,100,820,U,CP,0.486351493,,10,GEOSYN. GRANITES,1
178,BOLONA,778248,1095270,50,91,C,CP,0.947989311,372.2488789,11.7,GNEISS-MIGMATITES,1.3
179,BOLONA,776959,1096122,50,104,V,CP,0.992669135,0.178181818,4.9,GNEISS-MIGMATITES,1.1
180,BOLONA,790880,1097857,50,91,V,CP,0.947989311,109.5728155,3.6,GNEISS-MIGMATITES,0.3
181,BOLONA,779491,1127703,50,104,V,CP,0.992669135,0,0,GRANITES,0
182,BOLONA,782855,1120124,40,32,V,NC,0.486135912,91.73394495,3,GRANITES,1
183,BOLONA,764749,1110889,40,36,V,CB2P,1.217795012,360.0193548,11.4,VOLCANO-SEDIM. SCHISTS,2.2
184,BOLONA,774495,1083300,20,33,V,NC,0.853497539,254.2,8.2,GRANITES,6.8
185,BOUGOULA,763312,1092911,40,32,V,NC,0.486135912,151.1829268,4.9,GNEISS-MIGMATITES,1.5
186,BOUGOULA,750028,1103404,40,36,V,CB2P,1.217795012,153.7179487,5,GEOSYN. GRANITES,8
187,BOUGOULA,796335,1112851,20,33,C,CB2P,0.853497539,143.55,4.5,VOLCANO-SEDIM. SCHISTS,0
188,DARANIANI,776645,1116571,50,159,V,NC,0.756026118,374.3744681,12.4,VOLCANO-SEDIM. SCHISTS,1
189,DARANIANI,770261,1127259,50,94,C,CP,0.240717202,366.52,11.9,VOLCANO-SEDIM. SCHISTS,0.7
190,DEBETE,764950,1135420,60,341,V,CP,0.344222069,178.5152866,5.7,GNEISS-MIGMATITES,0
191,DEBETE,779649,1116147,50,159,V,CB2P,0.756026118,0,0,GEOSYN. GRANITES,0
192,DEBETE,761337,1096177,50,94,V,CP,0.240717202,0,0,VOLCANO-SEDIM. SCHISTS,0
193,DIOMANKANI,756648,1079593,60,341,V,CP,0.344222069,,6.9,GRANITES,10
194,DIOMANKANI,748690,1079390,20,62,V,CP,0.524627612,388.0521127,12.1,GRANITES,2
195,DIOMANKANI,785844,1050875,40,139,V,NC,0.854632656,344.9627329,11,GRANITES,3
196,DJOGUENESSO ,777836,1057377,40,266,V,NC,0.723056558,167.8695652,5.4,GRANITES,1.2
197,DOUBASSO,772281,1057337,20,62,V,CP,0.524627612,134.2812081,4.3,GRANITES,1.9
198,DOUGBA,769019,1051498,40,139,V,CP,0.854632656,298.5230769,9.8,GRANITES,1.3
199,DOUGBA,762364,1058310,40,266,V,NC,0.723056558,0,0,GEOSYN. GRANITES,0
200,DOUGBA,755132,1062138,40,126,V,EC,1.06627213,0,0,GEOSYN. GRANITES,0
201,DOUGBA,751669,1063754,40,126,V,CP,1.06627213,174.304918,5.4,GRANITES,0.6
202,DOUGBA,774964,1080470,50,115,U,NC,0.737850554,0,0,GEOSYN. GRANITES,1
203,FENI,743108,1064444,50,115,W,EC,0.737850554,210.375,6.8,GEOSYN. GRANITES,0.9
204,FENI,742109,1056386,60,58,V,CP,0.512042842,252.9424084,8,GEOSYN. GRANITES,0
205,FENI,759426,1048897,40,161,C,CP,0.421628888,,4.9,GRANITES,1
206,FENI,755421,1041415,60,58,V,CP,0.512042842,78.24193548,2.5,GRANITES,1
207,FENI,744474,1085027,40,161,V,CP,0.421628888,100.6011834,3.2,GRANITES,1
208,FIMBIASSO,792785,1085230,30,46,V,CP,0.184462639,29.7,4.5,VOLCANO-SEDIM. SCHISTS,1
209,FIMBIASSO,788410,1068940,50,48,V,NC,0.736569564,116.4875912,3.6,VOLCANO-SEDIM. SCHISTS,0.3
210,FLABOUGOU,789971,1061197,30,46,V,CP,0.184462639,0,0,VOLCANO-SEDIM. SCHISTS,0
211,FLABOUGOU,766015,1051626,50,48,V,CP,0.736569564,402.7020619,13.3,VOLCANO-SEDIM. SCHISTS,3.9
212,FLABOUGOU,776950,1055432,70,413,V,NC,0.886879692,0,0,GNEISS-MIGMATITES,2.3
213,IRIBASSO,774807,1081364,40,193,W,EC,0.696115484,411.5668966,13.2,GRANITES,5
214,IRIBASSO,776908,1081379,40,195,V,NC,0.580190179,351.0063444,10.9,GEOSYN. GRANITES,10
215,IRIBASSO,757397,1037998,60,394,V,NC,1.198851091,460.2670391,14.6,GEOSYN. GRANITES,4
216,KAPEGUE,769417,1037633,40,193,U,NC,0.696115484,,10.9,GEOSYN. GRANITES,1
217,KOKARI,777166,1046337,40,195,V,CP,0.580190179,241.2457143,7.6,GEOSYN. GRANITES,2.4
218,KOLONZA,767101,1046564,30,166,V,CP,0.630432552,537.3176471,17.3,GRANITES,1.4
219,KOLONZA,764835,1048486,50,401,C,CP,0.687709837,,14.9,GRANITES,0
220,KOLONZA,761398,1046077,50,356,V,NC,1.350653402,209.526087,6.5,GRANITES,1.9
221,KOTOU,759393,1053668,30,166,V,CB2P,0.630432552,802.8428571,26.2,GEOSYN. GRANITES,0.4
222,KOULOUSSON,755196,1052596,50,401,V,NC,0.687709837,651.2,20,VOLCANO-SEDIM. SCHISTS,1.6
223,KOULOUSSON,762777,1063681,50,356,V,CB2P,1.350653402,246.9677419,8,GNEISS-MIGMATITES,4
224,KOULOUSSON,770716,1066123,80,255,V,CP,0.277296777,0,0,GRANITES,0
225,KOULOUSSON,769183,1070586,60,1360,C,CP,0.117504509,254.4864865,8,GRANITES,7.8
226,KOULOUSSON,770141,1083417,50,744,C,CP,0.266115455,415.6835294,12.9,GEOSYN. GRANITES,1.5
227,KOUROUKORO,760401,1059937,80,255,V,CP,0.277296777,172.3679245,5.5,GRANITES,6
228,MBASSO,764955,1052811,60,1360,C,NC,0.117504509,281.344186,9.4,GEOSYN. GRANITES,1
229,MBASSO,768352,1060887,50,744,V,CP,0.266115455,0,0,GEOSYN. GRANITES,0
230,MBELE,765888,1054868,60,87,U,NC,1.072851668,0,0,GEOSYN. GRANITES,0
231,MBELE,772458,1054530,70,96,V,NC,1.090122954,395.6796117,13,GRANITES,0.8
232,MBELE,775843,1053609,60,87,V,CP,1.072851668,81.84946903,9.2,VOLCANO-SEDIM. SCHISTS,2
233,MISSASSO,775217,1055757,70,96,V,CB2P,1.090122954,334.4676923,10.8,GNEISS-MIGMATITES,2
234,NANIASSO,774008,1051222,60,87,K,CP,1.072851668,199.8604027,6.4,GNEISS-MIGMATITES,3
235,NANIASSO,777048,1053922,70,96,V,CB2P,1.090122954,,6.7,GNEISS-MIGMATITES,1
236,NEGUEPIE,779909,1080347,60,87,V,CP,1.072851668,186.2805405,5.9,GRANITES,0.9
